t_s,roll,pitch,yaw,a_x,a_y,a_z,w_x,w_y,w_z,vx_est,vy_est,X_est,Y_est,d_F,FxR,vx_enc, enc_count
1449023652.305,0.07,2.27,-31.3700,0.0315,0.0325,-1.0050,-0.0227,0.5376,0.0937,0.0000,-0.0000,0.0000,0.0000, -0.352, 90.000, 0.000, 1718
1449023652.323,0.05,2.28,-31.3800,0.0247,0.0295,-0.9847,0.2199,0.7222,0.2732,0.0000,-0.0000,0.0000,0.0000, -0.352, 90.000, 0.000, 1718
1449023652.334,0.05,2.28,-31.3900,0.0310,0.0305,-0.9982,0.1599,0.6605,0.1526,0.0000,-0.0000,0.0000,-0.0000, -0.352, 90.000, 0.000, 1718
1449023652.353,0.04,2.29,-31.4100,0.0257,0.0149,-0.9947,0.0984,0.5992,0.2141,0.0000,-0.0000,0.0000,-0.0000, -0.352, 90.000, 0.000, 1718
1449023652.370,0.03,2.29,-31.4300,0.0281,0.0247,-0.9962,0.1587,0.4146,0.3367,0.0000,-0.0000,0.0000,-0.0000, -0.352, 90.000, 0.000, 1718
1449023652.390,0.03,2.29,-31.4600,0.0287,0.0120,-0.9956,0.2212,0.4139,0.1543,0.0001,-0.0001,0.0000,-0.0000, -0.352, 90.000, 0.000, 1718
1449023652.408,0.03,2.29,-31.4900,0.0321,0.0091,-1.0033,0.0383,0.2296,0.1566,0.0001,-0.0001,0.0000,-0.0001, -0.352, 90.000, 0.000, 1718
1449023652.425,0.03,2.29,-31.5200,0.0262,0.0091,-0.9975,0.0367,0.3533,0.3378,0.0001,-0.0001,0.0000,-0.0001, -0.352, 90.000, 0.000, 1718
1449023652.444,0.03,2.28,-31.5500,0.0189,-0.0001,-0.9956,0.2210,0.1677,0.2170,0.0002,-0.0001,0.0000,-0.0002, -0.352, 90.000, 0.000, 1718
1449023652.468,0.04,2.27,-31.5700,0.0248,-0.0011,-1.0081,0.0365,0.1071,0.4005,0.0002,-0.0002,0.0001,-0.0003, -0.352, 90.000, 0.000, 1718
1449023652.486,0.05,2.26,-31.6000,0.0165,-0.0006,-1.0058,0.0984,0.2298,0.2778,0.0003,-0.0002,0.0001,-0.0004, -0.352, 90.000, 0.000, 1718
1449023652.504,0.06,2.25,-31.6200,0.0189,-0.0103,-1.0115,0.1600,0.1678,0.2173,0.0003,-0.0003,0.0002,-0.0005, -0.352, 90.000, 0.000, 1718
1449023652.527,0.07,2.24,-31.6400,0.0159,-0.0049,-1.0208,0.0978,0.2916,0.3380,0.0004,-0.0003,0.0002,-0.0007, -0.352, 90.000, 0.000, 1718
1449023652.546,0.08,2.22,-31.6600,0.0121,-0.0132,-1.0164,0.2811,0.1678,0.3382,0.0005,-0.0004,0.0003,-0.0008, -0.352, 90.000, 0.000, 1718
1449023652.564,0.09,2.21,-31.6700,0.0125,-0.0117,-1.0178,0.1604,0.2293,0.1561,0.0006,-0.0004,0.0004,-0.0010, -0.352, 90.000, 0.000, 1718
1449023652.587,0.11,2.20,-31.6900,0.0091,-0.0122,-1.0304,0.2209,0.2909,0.2160,0.0007,-0.0005,0.0005,-0.0012, -0.352, 90.000, 0.000, 1718
1449023652.607,0.12,2.19,-31.7000,0.0096,-0.0156,-1.0246,0.2817,0.4755,0.2143,0.0009,-0.0006,0.0006,-0.0014, -0.352, 90.000, 0.000, 1718
1449023652.624,0.13,2.18,-31.7100,0.0159,-0.0146,-1.0376,0.1586,0.5378,0.3357,0.0010,-0.0006,0.0007,-0.0016, -0.352, 90.000, 0.000, 1718
1449023652.648,0.15,2.17,-31.7200,0.0130,-0.0078,-1.0304,0.4643,0.5367,0.2737,0.0012,-0.0007,0.0009,-0.0019, -0.352, 90.000, 0.000, 1718
1449023652.666,0.16,2.17,-31.7300,0.0159,-0.0127,-1.0299,0.3427,0.5369,0.2135,0.0013,-0.0008,0.0011,-0.0022, -0.352, 90.000, 0.000, 1718
1449023652.684,0.16,2.16,-31.7500,0.0089,0.0010,-1.0451,0.0377,0.7224,0.1526,0.0015,-0.0009,0.0012,-0.0024, -0.352, 90.000, 0.000, 1718
